iter	Logloss
0	0.6690661183
1	0.648868361
2	0.6319291049
3	0.6138439982
4	0.5920863758
5	0.5771136987
6	0.5664632237
7	0.5523857846
8	0.5396406549
9	0.5266537375
10	0.514288192
11	0.5021256043
12	0.4934596025
13	0.4823476358
14	0.4696861148
15	0.4593801732
16	0.4447175715
17	0.4328935524
18	0.4261692405
19	0.4201177817
20	0.4079308774
21	0.4014281997
22	0.3954390773
23	0.387909176
24	0.3782739987
25	0.3686213954
26	0.3614570079
27	0.3558919402
28	0.3459057366
29	0.3389706085
30	0.3305619735
31	0.3236581325
32	0.3187052254
33	0.3129171479
34	0.308846311
35	0.3024621313
36	0.2970577835
37	0.2934290057
38	0.2847023168
39	0.2792791208
40	0.2744728317
41	0.2682202836
42	0.2647406465
43	0.2592423049
44	0.2529221344
45	0.2490312393
46	0.246424878
47	0.2435349771
48	0.239718761
49	0.2364222653
50	0.2320652601
51	0.2266953391
52	0.2233448418
53	0.2194033642
54	0.2138979092
55	0.2102129387
56	0.2074076103
57	0.2063172711
58	0.2057043747
59	0.2022367499
60	0.1985423699
61	0.1955252223
62	0.1931331956
63	0.189659209
64	0.1865412899
65	0.1838737214
66	0.1817013921
67	0.1793866586
68	0.1775254822
69	0.1740117453
70	0.1715032247
71	0.1695494786
72	0.166133097
73	0.1632249978
74	0.1589777525
75	0.1564516182
76	0.1547658801
77	0.1531280128
78	0.1518392656
79	0.1491444768
80	0.1466028511
81	0.1450162142
82	0.1423055313
83	0.1405730686
84	0.1388676969
85	0.1372842348
86	0.1350496836
87	0.1331800948
88	0.1320918999
89	0.1295963557
90	0.1278039564
91	0.1259087358
92	0.1249508542
93	0.122221148
94	0.1206709398
95	0.1195052146
96	0.117928149
97	0.1170857234
98	0.1154126738
99	0.1141338386
100	0.1129215302
101	0.1108950185
102	0.1103485133
103	0.1085993959
104	0.1071787426
105	0.1055003907
106	0.1036713905
107	0.1021530172
108	0.1003958376
109	0.09907645403
110	0.09721103047
111	0.09671899034
112	0.09548884862
113	0.09425516118
114	0.09311981199
115	0.09167668156
116	0.09012242014
117	0.08881879487
118	0.08813631613
119	0.08660760364
120	0.08524660185
121	0.08346744181
122	0.08229974573
123	0.08137003545
124	0.08007237049
125	0.07927320285
126	0.07800147366
127	0.07610699537
128	0.07511192792
129	0.07430853442
130	0.0731197342
131	0.07259990573
132	0.07175019665
133	0.0710529973
134	0.06981387899
135	0.06922971832
136	0.06831545684
137	0.06695657042
138	0.06535410639
139	0.06445541555
140	0.06359747247
141	0.06268911299
142	0.06185480102
143	0.06113703038
144	0.06051220256
145	0.05981588851
146	0.05869480611
147	0.05780959337
148	0.05624304137
149	0.05541630557
150	0.05443282734
151	0.05374517708
152	0.05329016047
153	0.05243745105
154	0.05153903461
155	0.05105035698
156	0.05018951685
157	0.0494581274
158	0.04902234223
159	0.04863844854
160	0.04811781746
161	0.04716774481
162	0.04578400413
163	0.04528599826
164	0.04434680176
165	0.04382285228
166	0.04249669986
167	0.04193237034
168	0.0411763406
169	0.04072665418
170	0.04034081735
171	0.04006951177
172	0.03968829741
173	0.03909674707
174	0.03850895368
175	0.03807865527
176	0.03772701924
177	0.03735443435
178	0.03712185013
179	0.03674821019
180	0.0362318108
181	0.03618282289
182	0.0355696309
183	0.03538169028
184	0.03504282727
185	0.03481251771
186	0.03460047103
187	0.03426520526
188	0.03391822551
189	0.03367009533
190	0.03342883146
191	0.03311403602
192	0.0325880784
193	0.03236018939
194	0.0318018354
195	0.03147495657
196	0.0312587706
197	0.03079040742
198	0.0302859234
199	0.03006546428
200	0.02962011673
201	0.02918938988
202	0.02890853508
203	0.02868405272
204	0.028482281
205	0.02800870888
206	0.02758330915
207	0.02724871918
208	0.02702531589
209	0.02660789966
210	0.02629926479
211	0.02582649405
212	0.0256743231
213	0.0255180474
214	0.02529384227
215	0.02508998616
216	0.02498642568
217	0.02480849026
218	0.02456717295
219	0.0244008831
220	0.02415117657
221	0.02398755407
222	0.02374327793
223	0.02340031888
224	0.02322132911
225	0.02310350481
226	0.02292687486
227	0.02264948526
228	0.02251746237
229	0.02224637509
230	0.02214151248
231	0.02200783077
232	0.02184984902
233	0.02168321152
234	0.02143267523
235	0.02129369456
236	0.02103595113
237	0.02090836435
238	0.02078550032
239	0.02069322385
240	0.02057542328
241	0.02046182773
242	0.02029788585
243	0.01994530611
244	0.01963151415
245	0.01945488908
246	0.01934432595
247	0.0192246297
248	0.01905831841
249	0.01885778411
250	0.01877825081
251	0.01864077291
252	0.01850477491
253	0.01841735117
254	0.01836799277
255	0.01824958142
256	0.01806238398
257	0.0178250426
258	0.01775112325
259	0.01767047358
260	0.0175779942
261	0.01751295711
262	0.0174245259
263	0.01733438564
264	0.0172795988
265	0.01717912098
266	0.01701664678
267	0.01687780732
268	0.01679892229
269	0.01668723475
270	0.01660792326
271	0.01646620136
272	0.01640271167
273	0.01632857844
274	0.01627131373
275	0.01620735402
276	0.01609955654
277	0.016049598
278	0.01589457942
279	0.01580479294
280	0.01571376215
281	0.0155663914
282	0.01542246602
283	0.01535115582
284	0.01527263318
285	0.0151804955
286	0.01504305385
287	0.01488280483
288	0.01482447899
289	0.01477199692
290	0.01462717949
291	0.0144972498
292	0.01436975086
293	0.01421777439
294	0.01406949037
295	0.0139494164
296	0.01380134033
297	0.01365375086
298	0.01359753653
299	0.01350833937
300	0.01346209578
301	0.01339114599
302	0.01333260791
303	0.01318959891
304	0.01312050334
305	0.01302366449
306	0.01292436647
307	0.01287781464
308	0.01279972971
309	0.01267592615
310	0.01264184267
311	0.01254421083
312	0.01250658097
313	0.0124602456
314	0.01244572552
315	0.01241476622
316	0.01227931224
317	0.01216737727
318	0.01204017055
319	0.01200501462
320	0.01193289671
321	0.01188215214
322	0.01183450308
323	0.01176154759
324	0.01169736479
325	0.01165481058
326	0.01162327998
327	0.01157940715
328	0.0115189118
329	0.01142237374
330	0.01137318109
331	0.0113182859
332	0.0112745159
333	0.01124370444
334	0.01115612791
335	0.01109844679
336	0.01101962045
337	0.01090567455
338	0.01088859922
339	0.01085214531
340	0.0108215417
341	0.01078377606
342	0.01075867525
343	0.01073125275
344	0.01068990603
345	0.01068000421
346	0.01061563849
347	0.01059016145
348	0.01052097233
349	0.01046459716
350	0.01043261454
351	0.0103870652
352	0.01033512362
353	0.01022945549
354	0.01020265382
355	0.01016452307
356	0.01013166019
357	0.01009508211
358	0.01006935351
359	0.01004772637
360	0.01002570017
361	0.009995322062
362	0.009938041051
363	0.009885254446
364	0.00985629573
365	0.009834099966
366	0.009807159369
367	0.009759360547
368	0.009719377187
369	0.009632046835
370	0.009611030767
371	0.0095728182
372	0.009529161139
373	0.009502383468
374	0.009442351443
375	0.009381997801
376	0.009325407499
377	0.009286475867
378	0.009241200685
379	0.009206884541
380	0.009129524397
381	0.009090491036
382	0.009064226838
383	0.009055056593
384	0.009014708537
385	0.00896518025
386	0.008920686353
387	0.008898442138
388	0.008884342315
389	0.008855140122
390	0.008801056903
391	0.008734676491
392	0.008673519475
393	0.008644481463
394	0.008636083045
395	0.008616953898
396	0.008612878014
397	0.008590559677
398	0.008571558302
399	0.0085457726
400	0.008527513678
401	0.008527442793
402	0.008479327464
403	0.008444240509
404	0.008413400466
405	0.008366691398
406	0.008327575172
407	0.0083165628
408	0.008284007028
409	0.008262164114
410	0.008241670324
411	0.008224632888
412	0.008190180846
413	0.008133630908
414	0.008111721236
415	0.008102564506
416	0.008075361429
417	0.008048572673
418	0.008027247371
419	0.00802351229
420	0.00801131159
421	0.008008052663
422	0.008008009917
423	0.007991807917
424	0.007965263344
425	0.007941427568
426	0.007930709865
427	0.007907240347
428	0.007867584724
429	0.007831980354
430	0.007814795196
431	0.007760218434
432	0.007734028839
433	0.007687779159
434	0.007639273771
435	0.007615083566
436	0.007592690244
437	0.007549460633
438	0.00753814436
439	0.007514036771
440	0.00747067415
441	0.007440919238
442	0.007424570753
443	0.007378625817
444	0.00736416091
445	0.007343671899
446	0.007326736574
447	0.007273770307
448	0.007249586734
449	0.007219334122
450	0.007199551506
451	0.007149085444
452	0.00712752336
453	0.007090468702
454	0.007058408332
455	0.007055025105
456	0.007038237929
457	0.00702552777
458	0.007016087454
459	0.00697588976
460	0.006955664041
461	0.006940057709
462	0.006890598986
463	0.006875444217
464	0.00683340114
465	0.006820893132
466	0.00680788024
467	0.006795057403
468	0.006784627739
469	0.006763536703
470	0.006750962418
471	0.006740220296
472	0.006719370291
473	0.00670878134
474	0.006698036446
475	0.006683511607
476	0.006661846991
477	0.006650340741
478	0.006638474565
479	0.006607986734
480	0.006590509931
481	0.00657172704
482	0.006521117501
483	0.006504132813
484	0.006484534858
485	0.006457332475
486	0.006447516814
487	0.006430102235
488	0.006415590196
489	0.006405456985
490	0.006370128712
491	0.006367446315
492	0.00635423105
493	0.006328135374
494	0.006326213816
495	0.006314749718
496	0.006288446311
497	0.006274943207
498	0.006248687729
499	0.006220977202
